iter	RMSE
0	1.042334809
1	0.6624491057
2	0.4751266817
3	0.3951265783
4	0.3612902588
5	0.3477031514
6	0.3362424075
7	0.3301074537
8	0.3209392353
9	0.3151155826
10	0.3103680061
11	0.3068426446
12	0.3016870942
13	0.2982332498
14	0.2934121025
15	0.2899943518
16	0.2875068015
17	0.2802531727
18	0.2795485645
19	0.2729746708
20	0.2695831852
21	0.2668537213
22	0.2632806488
23	0.2623563521
24	0.2569593091
25	0.2532244033
26	0.2527966595
27	0.248488753
28	0.2469564769
29	0.2443014338
30	0.2425561396
31	0.2397018226
32	0.2393638569
33	0.2369990847
34	0.2356131452
35	0.2352289269
36	0.2310536081
37	0.2287611995
38	0.2267572947
39	0.2261977706
40	0.2249896581
41	0.2226950803
42	0.2207021286
43	0.2205062038
44	0.2190866899
45	0.21859563
46	0.2184573712
47	0.2170125478
48	0.2158028153
49	0.2130046363
50	0.2111084063
51	0.2099454861
52	0.208562204
53	0.2070958087
54	0.2064747554
55	0.2045830335
56	0.2044330206
57	0.2024385522
58	0.1992169884
59	0.1978337198
60	0.1961992454
61	0.1953739507
62	0.1945946946
63	0.1944857015
64	0.1935800633
65	0.1923774991
66	0.1918851293
67	0.1904274244
68	0.1903350566
69	0.1893517397
70	0.1882519644
71	0.1876458081
72	0.1855557563
73	0.1850432277
74	0.1841219845
75	0.1828786233
76	0.1821680224
77	0.1810178158
78	0.1801139336
79	0.1797157577
80	0.1788739559
81	0.1781963849
82	0.1775992961
83	0.1775295389
84	0.1767735405
85	0.1757362378
86	0.1747184491
87	0.1740416031
88	0.1735745027
89	0.1735183137
90	0.1727922053
91	0.1727491692
92	0.1727179138
93	0.172593994
94	0.1724123798
95	0.172029251
96	0.1718939213
97	0.1707910468
98	0.1703218061
99	0.1696400073
100	0.1685041617
101	0.1676681301
102	0.1675596904
103	0.1672079147
104	0.1670272163
105	0.1661442156
106	0.1651837032
107	0.1643874586
108	0.1637133813
109	0.1630570297
110	0.1624280189
111	0.1617753194
112	0.1610127912
113	0.1602693393
114	0.15959473
115	0.1593999169
116	0.1593765263
117	0.1593590381
118	0.1591359453
119	0.1583749317
120	0.1577705293
121	0.1573807717
122	0.1570049027
123	0.1566888094
124	0.1561459711
125	0.1549040149
126	0.1548060678
127	0.1543080487
128	0.1538047952
129	0.1531753576
130	0.1525728642
131	0.1516381617
132	0.1510139208
133	0.1505519406
134	0.1496993303
135	0.1490547084
136	0.1486220747
137	0.1481622845
138	0.1479919667
139	0.1476290747
140	0.1476122365
141	0.1475834191
142	0.1473871528
143	0.1471289488
144	0.1463746219
145	0.1457005566
146	0.1455288491
147	0.144832808
148	0.1444270927
149	0.1439632029
150	0.1434772133
151	0.1429425024
152	0.1424241881
153	0.1420359005
154	0.1419108425
155	0.1415825945
156	0.1411519313
157	0.1408215042
158	0.1403310316
159	0.1400567678
160	0.1394834715
161	0.1394653449
162	0.1391052162
163	0.1388793357
164	0.1383473918
165	0.1382032267
166	0.138123681
167	0.1379603279
168	0.1374276308
169	0.1371377138
170	0.136772799
171	0.1363405003
172	0.1360751947
173	0.1358026078
174	0.1355003236
175	0.1350401189
176	0.1347287276
177	0.1335537735
178	0.1328668606
179	0.132809947
180	0.1324598181
181	0.1321470038
182	0.1318873327
183	0.1312745592
184	0.1310370326
185	0.1309193454
186	0.1302991142
187	0.1288594641
188	0.1286300739
189	0.1285301337
190	0.128412095
191	0.1278769362
192	0.1269898991
193	0.1267959312
194	0.1265018568
195	0.126147154
196	0.125833628
197	0.1256864323
198	0.1255005821
199	0.125066995
200	0.1248171414
201	0.1244317327
202	0.1239643258
203	0.1237875928
204	0.1230801594
205	0.122655125
206	0.1221583869
207	0.1218012421
208	0.1217820667
209	0.1216874134
210	0.1214226971
211	0.1208896055
212	0.1207153086
213	0.120680494
214	0.1204712987
215	0.1199239387
216	0.1194496132
217	0.1193647196
218	0.119151171
219	0.1189811511
220	0.1188287237
221	0.1186325376
222	0.1186103393
223	0.1184026625
224	0.1181475869
225	0.117742872
226	0.1173143906
227	0.1173002376
228	0.1166183108
229	0.1163534505
230	0.1163392197
231	0.1160726951
232	0.1158754306
233	0.1156176998
234	0.115474116
235	0.1149823373
236	0.1146201254
237	0.1146050706
238	0.114299613
239	0.1140448293
240	0.1137366872
241	0.1137062642
242	0.1135906672
243	0.1134217326
244	0.1131728485
245	0.1130245209
246	0.1127108282
247	0.1126221
248	0.1123751726
249	0.112059773
250	0.1118157662
251	0.111546471
252	0.1113416172
253	0.1110735442
254	0.1109564178
255	0.1106956843
256	0.1103585123
257	0.1103509027
258	0.1101270111
259	0.1097815066
260	0.1093586485
261	0.1090092392
262	0.1089972228
263	0.1089900142
264	0.1088561034
265	0.1087101267
266	0.1083965469
267	0.1080720484
268	0.1074868175
269	0.107269082
270	0.1069222438
271	0.1068816571
272	0.106677332
273	0.1064106919
274	0.1059774221
275	0.1055833949
276	0.1054735345
277	0.1054130224
278	0.1053379963
279	0.1052058894
280	0.1048486599
281	0.1047275211
282	0.1046296882
283	0.1045705705
284	0.1043543752
285	0.1041429421
286	0.1041007292
287	0.1038110534
288	0.1035836099
289	0.1034064394
290	0.1031925418
291	0.1029201941
292	0.102600043
293	0.1022854979
294	0.1019099378
295	0.1016964292
296	0.1015057941
297	0.1014030468
298	0.1012654355
299	0.1010218806
300	0.1005755737
301	0.100389916
302	0.1002413712
303	0.1000912289
304	0.09944246249
305	0.09926300833
306	0.09910410543
307	0.09833803533
308	0.09821186704
309	0.09792709246
310	0.09777048159
311	0.09756546584
312	0.09744190606
313	0.09727518181
314	0.09716063538
315	0.09687996972
316	0.09672636013
317	0.09672184687
318	0.09656715583
319	0.09626773532
320	0.09614613587
321	0.09592811077
322	0.09572049438
323	0.09565947109
324	0.09545963136
325	0.09521526416
326	0.09509590848
327	0.09493795413
328	0.094847531
329	0.09484223463
330	0.09474184632
331	0.09464190155
332	0.09445905234
333	0.09429095845
334	0.09411120266
335	0.09401804046
336	0.09399645329
337	0.09388717251
338	0.09363539374
339	0.09359257924
340	0.09344416421
341	0.09339279411
342	0.09312279673
343	0.09301355464
344	0.0926999062
345	0.09267088227
346	0.09239467094
347	0.09235478579
348	0.092217582
349	0.09220984348
350	0.09220511531
351	0.09208321119
352	0.09190444169
353	0.09157352419
354	0.09137500257
355	0.09115649865
356	0.09099326588
357	0.09085083394
358	0.09050205379
359	0.0903232632
360	0.09000422419
361	0.08983193332
362	0.08973251365
363	0.08954634536
364	0.08941214203
365	0.08916491347
366	0.08905134585
367	0.08883726779
368	0.08852356245
369	0.08835183282
370	0.08798237583
371	0.08776467935
372	0.08773122965
373	0.08768298532
374	0.08768085072
375	0.08765483914
376	0.08760372767
377	0.08733042803
378	0.0872625773
379	0.08720203038
380	0.08709720664
381	0.08709398442
382	0.08695938842
383	0.08686382283
384	0.08671934428
385	0.08646808592
386	0.08634985592
387	0.0863483322
388	0.0861949447
389	0.08607641496
390	0.0859113378
391	0.08565412983
392	0.08549103709
393	0.08537419637
394	0.08484448961
395	0.08455068266
396	0.08453957395
397	0.08445486968
398	0.08381436616
399	0.08359318838
