iter	Passed	Remaining
0	3	1502
1	6	1302
2	13	1812
3	16	1667
4	22	1761
5	26	1732
6	29	1661
7	32	1588
8	34	1514
9	37	1476
10	40	1443
11	43	1404
12	46	1379
13	48	1345
14	51	1332
15	54	1317
16	57	1297
17	60	1293
18	64	1288
19	67	1276
20	69	1262
21	73	1262
22	77	1268
23	79	1247
24	82	1234
25	85	1224
26	88	1218
27	91	1214
28	94	1204
29	96	1192
30	99	1182
31	102	1173
32	105	1174
33	108	1165
34	110	1156
35	113	1151
36	117	1150
37	120	1151
38	124	1152
39	127	1144
40	129	1134
41	132	1130
42	135	1125
43	137	1114
44	140	1108
45	142	1098
46	145	1091
47	151	1108
48	155	1116
49	158	1111
50	161	1105
51	164	1099
52	167	1098
53	171	1101
54	174	1094
55	177	1088
56	179	1079
57	181	1072
58	184	1067
59	187	1064
60	191	1062
61	193	1055
62	197	1058
63	200	1054
64	204	1052
65	207	1047
66	210	1046
67	213	1043
68	215	1035
69	218	1030
70	222	1028
71	227	1038
72	231	1035
73	234	1031
74	237	1028
75	241	1030
76	244	1024
77	246	1017
78	249	1015
79	252	1009
80	255	1004
81	257	999
82	260	993
83	263	990
84	266	988
85	271	991
86	274	988
87	277	984
88	283	989
89	285	984
90	291	988
91	294	987
92	297	982
93	300	977
94	303	975
95	307	973
96	309	968
97	312	963
98	316	961
99	318	956
100	321	951
101	324	946
102	326	942
103	329	939
104	333	936
105	336	932
106	339	929
107	343	929
108	347	927
109	349	922
110	352	916
111	355	913
112	358	910
113	361	906
114	364	902
115	366	898
116	371	897
117	373	892
118	375	887
119	379	884
120	382	882
121	387	882
122	390	879
123	396	881
124	398	877
125	401	873
126	404	868
127	406	864
128	409	860
129	412	857
130	415	853
131	418	849
132	422	847
133	424	843
134	427	838
135	429	834
136	432	829
137	435	827
138	438	822
139	440	818
140	443	815
141	446	812
142	449	808
143	452	804
144	455	801
145	458	797
146	462	796
147	466	794
148	472	795
149	475	793
150	478	789
151	481	785
152	484	781
153	486	777
154	489	773
155	492	769
156	494	765
157	497	761
158	500	759
159	503	755
160	506	752
161	509	748
162	511	744
163	516	743
164	519	739
165	522	736
166	525	732
167	528	730
168	531	726
169	535	724
170	538	721
171	541	717
172	545	716
173	548	712
174	551	709
175	554	705
176	558	703
177	560	699
178	563	695
179	566	692
180	569	689
181	572	686
182	575	682
183	577	678
184	580	674
185	583	671
186	586	667
187	588	663
188	591	659
189	594	656
190	597	653
191	600	650
192	603	647
193	607	645
194	610	641
195	614	639
196	617	636
197	620	632
198	623	629
199	626	626
200	629	622
201	631	619
202	635	616
203	638	613
204	640	609
205	643	606
206	646	602
207	650	600
208	652	596
209	655	592
210	657	589
211	661	586
212	664	583
213	667	579
214	669	576
215	673	574
216	677	571
217	681	568
218	684	565
219	688	563
220	691	559
221	694	556
222	696	552
223	699	549
224	704	547
225	707	544
226	710	541
227	712	537
228	715	534
229	719	531
230	721	528
231	725	525
232	727	521
233	730	518
234	733	515
235	736	511
236	738	508
237	741	504
238	744	501
239	747	498
240	752	496
241	755	493
242	759	490
243	762	487
244	766	484
245	770	482
246	774	479
247	777	476
248	781	473
249	785	471
250	787	467
251	790	464
252	793	460
253	796	457
254	799	454
255	803	451
256	807	449
257	809	445
258	812	442
259	815	439
260	819	436
261	822	433
262	827	430
263	830	427
264	834	424
265	838	422
266	842	419
267	845	416
268	848	413
269	851	410
270	854	406
271	857	403
272	860	400
273	864	397
274	867	394
275	870	390
276	872	387
277	876	384
278	879	381
279	882	378
280	885	375
281	888	371
282	891	368
283	893	364
284	897	361
285	899	358
286	903	355
287	906	352
288	909	349
289	911	345
290	915	342
291	918	339
292	922	336
293	925	333
294	927	330
295	931	327
296	934	324
297	937	320
298	939	317
299	942	314
300	945	311
301	949	308
302	952	304
303	955	301
304	959	298
305	962	295
306	965	292
307	967	288
308	971	286
309	976	283
310	979	280
311	981	276
312	989	275
313	992	271
314	995	268
315	1000	266
316	1003	262
317	1005	259
318	1008	256
319	1010	252
320	1013	249
321	1015	246
322	1018	242
323	1020	239
324	1025	236
325	1027	233
326	1031	230
327	1034	226
328	1037	223
329	1040	220
330	1043	217
331	1045	214
332	1048	210
333	1053	208
334	1056	204
335	1059	201
336	1062	198
337	1065	195
338	1068	192
339	1070	188
340	1074	185
341	1079	183
342	1085	180
343	1087	177
344	1093	174
345	1096	171
346	1099	167
347	1102	164
348	1105	161
349	1108	158
350	1111	155
351	1114	151
352	1117	148
353	1120	145
354	1124	142
355	1128	139
356	1130	136
357	1134	133
358	1139	130
359	1142	126
360	1147	123
361	1150	120
362	1153	117
363	1156	114
364	1159	111
365	1162	107
366	1165	104
367	1167	101
368	1170	98
369	1174	95
370	1176	91
371	1179	88
372	1182	85
373	1185	82
374	1187	79
375	1190	75
376	1193	72
377	1195	69
378	1199	66
379	1202	63
380	1205	60
381	1209	56
382	1212	53
383	1216	50
384	1220	47
385	1223	44
386	1227	41
387	1231	38
388	1233	34
389	1236	31
390	1240	28
391	1243	25
392	1246	22
393	1249	19
394	1251	15
395	1255	12
396	1258	9
397	1262	6
398	1266	3
399	1270	0
